Category,Objective,Assets,Fees,Expense Ratio,Return 2006,3-Year Return,5-Year Return,Risk,,
Small Cap,Growth,143.1,Yes,1.72,0.0,-1.5,-3.9,High,,
Small Cap,Growth,136.6,Yes,1.62,-0.4,4.1,1.2,High,,
Small Cap,Growth,57.6,Yes,1.77,11.6,14.4,1.3,High,,
Small Cap,Growth,158.8,No,1.43,7.9,5.1,-1.0,High,,
Small Cap,Growth,122.2,Yes,1.68,9.0,6.1,1.9,High,,
Small Cap,Growth,223.6,Yes,1.63,8.1,2.6,0.7,High,,
Small Cap,Growth,105.9,Yes,1.51,6.6,2.8,-0.7,High,,
Small Cap,Value,1343.6,No,1.17,19.3,20.1,20.6,High,,
Small Cap,Value,2528.7,Yes,1.48,11.2,18.0,22.4,Low,,
Small Cap,Value,79.6,No,1.10,21.1,19.2,24.3,High,,
Small Cap,Value,392.0,No,1.41,17.8,11.6,13.8,Low,,
Small Cap,Value,1862.1,Yes,1.25,10.3,14.4,10.9,Low,,
Small Cap,Value,1371.4,No,1.10,14.4,14.1,15.9,Average,,
Small Cap,Value,1280.6,No,1.25,15.5,15.1,13.0,Average,,
Small Cap,Value,2199.0,No,1.18,19.1,17.0,16.6,Low,,
Small Cap,Value,195.2,No,1.30,27.8,13.6,15.2,High,,
Small Cap,Value,152.2,No,1.28,6.7,13.7,15.5,Average,,
Small Cap,Value,972.6,No,0.88,16.2,12.9,12.9,Average,,
Small Cap,Value,580.1,Yes,1.28,19.3,15.5,14.9,Average,,
Small Cap,Value,352.5,No,1.09,17.8,16.6,14.2,Average,,
Small Cap,Value,491.3,Yes,1.44,15.3,14.9,15.0,Average,,
Small Cap,Value,438.7,Yes,1.45,7.0,16.0,16.6,Average,,
Small Cap,Value,361.1,Yes,1.50,13.5,13.6,15.3,Average,,
Small Cap,Value,1204.3,Yes,1.27,23.8,19.4,16.7,Average,,
Small Cap,Value,306.0,No,1.09,19.6,14.6,14.0,Average,,
Small Cap,Value,1022.2,Yes,1.31,21.4,17.2,16.2,Average,,
Small Cap,Value,38763.8,No,0.87,17.8,16.1,15.6,Low,,
Small Cap,Value,67.6,No,1.37,12.8,11.5,18.7,Average,,
Small Cap,Value,357.1,No,1.00,18.0,14.8,13.2,Average,,
Small Cap,Value,208.5,No,1.25,16.9,15.9,15.5,Average,,
Small Cap,Value,67.6,No,1.37,12.8,11.5,18.7,Average,,
Small Cap,Value,357.1,No,1.00,18.0,14.8,13.2,Average,,
Small Cap,Value,208.5,No,1.25,16.9,15.9,15.5,Average,,
Small Cap,Value,4557.4,Yes,0.91,16.4,17.4,14.5,Low,,
Small Cap,Value,493.2,Yes,1.10,19.9,16.0,17.2,Low,,
Small Cap,Value,465.9,Yes,1.67,29.2,25.8,19.1,Average,,
Small Cap,Value,1972.9,No,0.83,10.7,14.7,15.9,Average,,
Small Cap,Value,1980.2,No,1.19,28.0,12.5,16.5,Average,,
Small Cap,Value,242.2,No,1.25,13.6,10.4,14.8,Average,,
Small Cap,Value,66.0,Yes,1.57,16.0,13.1,15.7,Average,,
Small Cap,Value,62.6,No,1.30,16.7,13.1,13.8,Average,,
Small Cap,Value,519.7,No,1.04,2.8,13.5,18.6,Average,,
Small Cap,Value,4042.4,No,0.25,23.2,16.2,15.1,Average,,
Small Cap,Value,1998.9,No,0.25,19.3,15.8,13.1,High,,
Small Cap,Value,282.0,No,1.50,12.3,15.1,18.0,Average,,
Small Cap,Value,617.4,No,1.00,19.0,15.0,13.6,Average,,
Small Cap,Value,3377.3,Yes,1.39,19.6,22.7,18.7,Average,,
Small Cap,Value,240.7,No,1.66,28.4,19.1,14.4,Average,,
Small Cap,Value,218.7,No,2.00,14.6,12.3,13.0,Average,,
Small Cap,Value,606.5,No,0.99,15.0,17.1,13.8,Average,,
Small Cap,Value,3435.2,No,0.93,22.3,15.9,16.6,Low,,
Small Cap,Value,2365.5,Yes,1.31,20.4,18.6,16.5,Average,,
Small Cap,Value,881.8,No,1.16,13.1,16.5,18.6,Low,,
Small Cap,Value,502.1,Yes,1.34,10.5,14.1,15.6,Average,,
Small Cap,Value,240.8,No,0.99,19.8,17.2,19.5,Low,,
Small Cap,Value,1915.9,No,1.02,7.3,14.0,13.6,Low,,
Small Cap,Value,648.7,No,1.00,20.3,16.8,16.2,Average,,
Small Cap,Value,57.4,Yes,3.36,35.0,26.1,20.0,High,,
Small Cap,Value,230.7,No,1.37,17.8,16.4,17.6,Average,,
Small Cap,Value,40.3,Yes,1.75,16.6,15.6,14.8,Average,,
Small Cap,Value,320.5,No,1.77,15.7,13.2,13.2,Average,,
Small Cap,Value,685.6,No,1.48,22.3,16.4,14.8,High,,
Small Cap,Value,1803.1,No,1.14,18.8,13.5,16.0,High,,
Small Cap,Value,2842.0,No,0.90,14.8,15.8,14.6,Average,,
Small Cap,Value,3640.8,No,1.13,8.8,16.1,14.9,Average,,
Small Cap,Value,453.9,No,1.14,14.0,8.7,13.6,Low,,
Small Cap,Value,4396.0,No,1.12,14.5,13.4,13.3,Low,,
Small Cap,Value,440.2,No,1.28,16.6,21.5,16.2,High,,
Small Cap,Value,630.6,No,1.36,14.9,19.0,16.9,Average,,
Small Cap,Value,591.2,No,1.37,18.7,15.4,14.9,Average,,
Small Cap,Value,108.5,Yes,1.28,17.3,15.8,15.4,Average,,
Small Cap,Value,711.9,No,1.28,13.6,16.6,16.7,Average,,
Small Cap,Value,95.8,No,0.26,18.9,14.4,15.6,Average,,
Small Cap,Value,5502.3,No,0.84,16.2,16.7,16.3,Low,,
Small Cap,Value,49.9,Yes,1.24,14.2,16.3,14.8,High,,
Small Cap,Value,302.6,No,1.08,16.3,11.6,15.1,Low,,
Small Cap,Value,292.4,No,1.09,21.7,17.4,16.3,Average,,
Small Cap,Value,2446.0,No,1.13,11.4,14.5,13.2,Low,,
Small Cap,Value,101.8,No,1.40,16.4,14.6,15.5,High,,
Small Cap,Value,4242.8,No,0.23,19.2,16.0,13.0,Average,,
Small Cap,Value,97.2,No,1.45,21.3,16.8,14.4,Low,,
Small Cap,Value,687.8,No,1.68,13.5,13.1,13.3,High,,
Small Cap,Value,2666.1,No,1.34,13.0,16.0,16.9,Average,,
Small Cap,Value,502.3,No,1.20,13.3,10.8,11.1,Average,,
Small Cap,Value,4217.6,No,1.07,10.3,10.7,10.5,Low,,
Small Cap,Value,271.4,Yes,1.63,22.3,14.3,12.7,Average,,
Small Cap,Value,49.2,Yes,1.45,13.5,10.1,11.9,Average,,
Small Cap,Value,275.4,Yes,1.38,11.8,13.8,11.3,Average,,
Small Cap,Value,577.5,No,0.89,14.8,14.5,12.9,High,,
Small Cap,Value,144.1,No,1.17,15.6,11.6,12.5,High,,
Small Cap,Value,320.3,No,1.18,12.4,12.6,12.1,Average,,
Small Cap,Value,46.9,No,1.36,16.7,10.4,10.2,Average,,
Small Cap,Value,482.1,No,1.21,17.1,15.1,12.2,Low,,
Small Cap,Value,738.4,Yes,1.29,16.8,16.7,13.7,Average,,
Small Cap,Value,238.4,No,0.92,15.7,13.6,11.9,Average,,
Small Cap,Value,1073.4,Yes,1.47,17.3,12.9,13.8,Average,,
Small Cap,Value,101.4,No,1.00,22.1,14.7,12.1,High,,
Small Cap,Value,49.7,No,1.95,23.7,15.3,12.3,High,,
Small Cap,Value,102.4,Yes,1.80,16.1,11.6,11.2,High,,
Small Cap,Value,1104.9,No,0.99,12.4,11.7,10.0,Average,,
Small Cap,Value,672.0,Yes,1.17,15.1,16.3,11.4,High,,
Small Cap,Value,42.1,No,1.22,23.3,11.5,10.1,Average,,
Small Cap,Value,275.4,Yes,1.12,11.4,12.8,12.9,Average,,
Small Cap,Value,471.6,No,0.89,18.4,15.2,12.3,Average,,
Small Cap,Value,314.8,Yes,1.28,25.6,16.7,12.7,Average,,
Small Cap,Value,86.0,Yes,1.15,10.6,15.6,13.9,Average,,
Small Cap,Value,139.8,Yes,1.40,13.4,14.3,11.4,High,,
Small Cap,Value,590.4,Yes,1.48,14.5,15.7,13.2,Average,,
Small Cap,Value,519.2,Yes,1.25,17.3,16.3,14.0,Average,,
Small Cap,Value,683.2,Yes,1.49,16.8,13.9,12.0,Average,,
Small Cap,Value,92.4,No,1.43,22.6,17.1,12.4,High,,
Small Cap,Value,4058.7,No,1.49,19.0,14.0,12.3,High,,
Small Cap,Value,181.4,Yes,1.78,21.4,12.4,11.8,High,,
Small Cap,Value,235.2,Yes,1.68,13.0,11.2,11.1,High,,
Small Cap,Value,92.3,No,1.57,11.2,9.9,10.6,High,,
Small Cap,Value,82.8,Yes,1.04,21.5,18.6,14.0,Average,,
Small Cap,Value,262.0,No,1.23,15.8,12.8,10.6,High,,
Small Cap,Value,434.5,No,1.16,10.9,10.5,9.5,Average,,
Small Cap,Value,167.0,Yes,1.38,26.2,16.5,13.5,Average,,
Small Cap,Value,93.8,No,1.34,21.8,11.1,11.3,High,,
Small Cap,Value,1205.2,Yes,1.44,12.8,10.1,9.9,High,,
Small Cap,Value,630.1,No,2.03,11.2,11.1,8.0,High,,
Small Cap,Value,142.1,No,1.19,5.0,8.3,6.8,High,,
Small Cap,Value,62.9,Yes,1.21,13.0,12.4,8.6,Average,,
Small Cap,Value,53.4,Yes,1.47,11.5,9.0,9.1,Average,,
Small Cap,Value,51.3,No,1.39,7.1,0.8,7.4,High,,
Small Cap,Value,449.9,No,0.90,12.8,6.3,4.7,High,,
Small Cap,Value,45.7,No,1.44,16.7,11.2,5.4,High,,
Small Cap,Value,74.5,Yes,1.40,14.4,7.3,4.9,High,,
